Name,Power Cost,Description,Special Mechanic,Duration,Primary Power type,Secondary power type,Arcana Boost,Special retrictions,speed,Rarity,Animation,Particle Effect,Creator
Shapechange,10i,Hero transforms into a dragon for 2 turns,Polymorph(self),,I,,,,3,R,,,Lord Onichan
Helios Bombardment,10I,"Crit Bonus +2, +5(L) damage bonus/3 turns, Stun/1 turn, Blind/2 turns","Crit Boost, Damage, Stop, Blind",,I,,Light+1,Can only be used once per battle,2,R,,,Lord Onichan
Lightning Carnival,10I,"(+5(L) Damage, Stun(AoE)(r),+1 Crit Bonus) (if hit=yes:reapply effect=yes)(if hit=no:dispel(self)=yes)",Special,,I,,Light+1,Can only be used once per battle,2,R,,,Lord Onichan
Song of the Whale ,10I,Summon Cloudwhale/3 turns,Summon,,I,,Chaos +1,"Can only be used in skyship to skyship combat, once player reaches Tier 4 Gemini, they can buy this ability from a randomly generated Gemini port merchant ",3,R,,,Lord Onichan
Spear/Sword/Hammer of Destiny,10S,"(+5)(L) damags bonus, Crit Damage +5(L), Priority=max, 1d6(L)/2 turns","Damage,  Crit Boost, Buff",,S,,Light or Order +1,Can only be used once per battle,2,R,,,Lord Onichan
Divine Ascension,10w,Polymorph self Greater Archon,Polymorph(self),,W,,Light +1,,3,R,,,Lord Onichan
Greater Resurrection ,10W,Return all friendly players and allied corpses to life within a 20 meter radius.,Resurrection (AoE),,W,,Light +1,,3,R,,,Lord Onichan
Diabolical Heresy,10W,(Enemy team sacrifice)(random x1),Mind Control,,W,,Darkness or Chaos +1,,3,R,,,Lord Onichan
Bulwark of Heaven,10W,"Dispel(all)(self), heal 1d6 hp/3 turns, Armor Boost +5, Absorb +5(P)","Regeneration, Armor, Buff",,W,,Light or Order +1,Can only be used once per battle,3,R,,,Lord Onichan
Reaper of Souls,10W,"(+5(D) Damage Bonus, Crit Damage +5(D), if Target:dead=yes, then convert all damage into (drain) ","Damage, Crit Boost, Regeneration",,W,,Darkness +1,Can only be used once per battle,3,R,,,Lord Onichan
Accurate Sniping,1d1i,Attack Boost for 2 Turns,3(AB),2,D,I,Order +1,,1,c,,,Lord Onichan
Mechanical Accuracy,2d,Mechanoid augmentation is a helluva a thing,"Crit Boost 3, Attack Boost 3",2,D,,Order +1,,1,R,,,Lord Onichan
Conversion DI,2D1I,Convert 2d1i into 3d,conversion,0,D,I,Chaos +1,,1,u,,,Lord Onichan
Conversion DS,2d1s,Convert 2d1s into 3d,conversion,0,D,S,Chaos +1,,1,u,,,Lord Onichan
Conversion DW,2d1w,Convert 2d1w into 3d,conversion,0,D,W,Chaos +1,,1,u,,,Lord Onichan
Ember Fire,2I,Deal 1d6(L)/2 turns,Damage,,I,,Light+1,,1,U,,,Lord Onichan
Mind Shield,2I,Next Arcana damage received is negated,Counter,,I,,Light+1,,2,U,,,Lord Onichan
Conversion ID,2I1D,Convert2I1D into 3I,conversion,,I,D,Order +1,,1,u,,,Lord Onichan
Rabbit Golem A,2i1d,"Summons, mechanical rabbit Golem A. stats: AR3,1d4(p),3hp/lvl",Summon,,I,D,Order +1,,1,c,,,Lord Onichan
Conversion IS,2I1S,Convert2I1S into 3I,conversion,,I,S,Order +1,,1,u,,,Lord Onichan
Conversion IW,2I1W,Convert2I1W into 3I,conversion,,I,W,Order +1,,1,u,,,Lord Onichan
Clockwork Targeting,2i2d,Attack Random x2,Randomx2(any),,I,D,Order+1,Firearm or crossbow,1,U,,,Lord Onichan
Quick Counter,2i2d,Counter the next spell that targets this hero,Counterspell,,I,D,Chaos +1,,1,U,,,Lord Onichan
Close Ranks,2i2w,Only summoned allies can be targeted by enemies/2 turns,untargetable (all friendly),,I,W,Light +1,Number of allied summoned crew>1,2,U,,,Lord Onichan
Son of a gun!,2I3D,"Haste +1, Pistol damage bonus +1d6(O)",Haste,,I,D,Any +1,Requires Pistol,2,U,,,Lord Onichan
Tactical Maneuver,2i3w,On successful attack roll change Skyship range from (L)->(C),"If attack=hit, range to target=(C)",,I,W,Order +1,Must be in Skyship combat ,1,C,,,Lord Onichan
Hard Block,2s,Increase Armor rating +2 / 2 turns,Armor Boost,,S,,,Req Shield,1,c,,,Lord Onichan
War Cry,2S,(+2AB)/2 TURNS,Attack Bonus,,S,, ,,1,C,,,Lord Onichan
Riposte,2S,Next attack received is negated,Counter,,S,,Order +1,,2,U,,,Lord Onichan
Conversion SD,2s1d,Convert2S1D into 3S,conversion,,S,D,Light +1,,1,u,,,Lord Onichan
Shrapnel Barrage,2s1d,All cannons gain (splash damage)x2 /1 Turn,"Splash Damage x2, cannons(friendly)",,S,D,Chaos +1,Must be in Skyship combat,2,C,,,Lord Onichan
Conversion SI,2s1i,Convert2S1I into 3S,conversion,,S,I,Light +1,,1,u,,,Lord Onichan
Empower Cannons,2s1i, friendly (Cannons)(gain +3 damage)(O)/2 turns ,Damage Bonus ,,S,I,Order +1,Must be in Skyship Combat,1,C,,,Lord Onichan
Conversion SW,2S1W,Convert2S1W into 3S,conversion,,S,W,Light +1,,1,u,,,Lord Onichan
Press the advantage,2s2i,Only summoned targets can be targeted/2 turns,"(untargetable),(all heroes)",,S,D,Chaos +1,Must be in melee combat,1,U,,,Lord Onichan
Protection from Chaos,2w,Gain +2 Armor rating vs Chaos for 2 turns,Shield,,W,,Order +1,,2,C,,,Lord Onichan
Protection from Darkness,2w,Gain +2 Armor rating vs Darkness for 2 turns,Shield,,W,,Light +1,,2,C,,,Lord Onichan
Protection from Light,2w,Gain +2 Armor rating vs Lighht for 2 turns,Shield,,W,,Darkness +1,,2,C,,,Lord Onichan
Protection from Order,2w,Gain +2 Armor rating vs Order for 2 turns,Shield,,W,,Chaos +1,,2,C,,,Lord Onichan
Regeneration,2w,Heal 1d8/turn next 3 turns,Heal,3 turn,W,,Light +1,,2,U,,,Lord Onichan
Flashbang,2W,Blind(t)(r)/1 turn,Blind,,W,,Light+1,,1,U,,,Lord Onichan
Conversion WD,2W1D,Convert2W1D into 3w,conversion,,W,D,Darkness +1,,1,u,,,Lord Onichan
Conversion WI,2W1I,Convert2W1I into 3w,conversion,,W,I,Darkness +1,,1,u,,,Lord Onichan
Conversion ws,2w1s,Convert2W1D into 3w,conversion,,W,S,Darkness +1,,1,u,,,Lord Onichan
Lake of Fire,2w2s,Deal 10(D)(AoE)(m)/2+(#of abilities used this turn) turns,Deal Damage (D)(AoE)(m),,W,S,Dartness +1,Aries Only,3,U,,,Lord Onichan
Boost Displacement,2w3s,Immediately teleport to long range in relation to targeted enemy ship.,"(Escape), targeted",,W,S,Dark +1,"Must be in close range to targeted enemy, Skyship must have Boosters",3,R,,,Lord Onichan
Concealment,3d,Disappear into the shadows,Stealth,3,D,,Chaos +1,,1,C,,,Lord Onichan
Planned Quickness,3d,Stillness now leads to blinding grace later,Power Boost 5d (triggered),0:Beginning next turn ,D,,Order +1,,2,U,,,Lord Onichan
Quickdraw,3D,Speed Boost 2,Speed Boost,,D,,Any +1,Requires Dagger,1,U,,,Lord Onichan
"Shoot first, talk later!",3D,Priority +2,Speed Boost,,D,,Any +1,,1,U,,,Lord Onichan
Reload Efficiency (Rockets),3d1i,Rocket Launcher cooldown -1/2 turns,"Cooldown reduction, rocket launcher, friendly ",,D,I,Order +1,Must be in Skyship combat,3,C,,,Lord Onichan
Jury rigged winch,3d1i,Grappling Ballistae gains +5 (AB)/3 turns,(AB),,D,I,Chaos +1,"Must be in Skyship Combat, must have grappling Ballistae ",2,U,,,Lord Onichan
Shadow Strikes,3d2w,All (P) gains (drain) /1 turn,Convert (P)->(Drain)(D),,D,W,Dark +1,,1,R,,,Lord Onichan
Chaos Missiles,3i,Deal 1d4/2 lvls (C) to up to 3 random targets,"Damage, Random (any)",,I,,Chaos +1,,2,c,,,Lord Onichan
Clockwork Missiles,3i,Deal (1d6+1)(O)/ 2 lvls ,"Damage, Targeted (any)",,I,,Order +1,,2,c,,,Lord Onichan
Holy Missiles,3w,"Deal 1d4(L)/2 lvls, stun",Damage,,I,,Light +1,,2,c,,,Lord Onichan
Vampiric Missiles,3i,Drain (1d4+1)(D)/3 lvls from a single target,Drain,,I,,Darkness +1,,2,c,,,Lord Onichan
Rabbit Golem B,3i2d,"Summons, mechanical rabbit Golem b. stats: AR(5),1d4(p)+1(O),4hp/lvl",Summon,,I,D,Order +1,,2,c,,,Lord Onichan
Strategic Placement,3i2w,On successful attack roll change Skyship range from (C)->(L),"If attack=hit, range to target=(L)",,W,I,Chaos +1,Must be in Skyship combat,1,C,,,Lord Onichan
Optical Displacement Field,3i2w,Give ship (stealth)/2 turns ,Stealth (Skyship)(friendly),,I,W,Order +1,Must be in Skyship Combat,2,U,,,Lord Onichan
Hawkeye,3I3d,(+5AB),Attack Bonus,,I,D,Order +1,,1,U,,,Lord Onichan
Succubus Kiss,3I3W,Drain 1d8(D),Drain,,I,W,Darkness or Chaos +1,,1,U,,,Lord Onichan
"""Fight Me!""",3s,All enemy attacks this turn target this hero,Taunt (all),,S,,,,1,c,,,Lord Onichan
Stable Stance,3s,"resist(daze,crit,Stun)/ 2 turns","Resist(daze,stun), resist(critical hit)",,S,,,,1,c,,,Lord Onichan
Vicious Bite,3s,"Grab your opponent and transfer a poisonous disease ridden substance onto them, Deals 1d4(D)+2(D) for 3 turns",DOT,,S,,Darkness +1,,1,c,,,Lord Onichan
Shiver me timberrrrs!,3s or 3I,"Deal 1d8(p)+3(D), (Fear:Taunt)randomize/2 turns","DOT, (x:y)randomize",,S,I,Darkness +1,,2,C,,,Lord Onichan
Rocket Overdrive (Charge),3s1d,Charge,(Charge),,S,D,Chaos +1,Must be at Long range in Skyship combat,2,C,,,Lord Onichan
Perimeter Defenses,3s1d,Ship can not be boarded for 2 turns,Boarding=fail,,S,D,Light +1,Must be in Skyship combat,2,U,,,Lord Onichan
Blunderbuss,3s1i,Fire your ranged weapon at a target in melee range. Deal explosive damage to nearby foes and get knocked back.,"Deal(2d8)(P)(m), splash2(C), escape",0,D,I,Chaos +1,Firearm,1,C,,,Lord Onichan
Seismic Boom,3S1W,"Deal 1d4(L)AoE(m), Stun/1 Turn","Aoe(m), Stun",,S,W,Light +1,,2,u,,,Lord Onichan
Bootin'n Lootin',3s3d,"deal 2d6(C), theft 1","Damage, Theft 1",,S,D,Chaos +1,,3,C,,,
Battle Brothers,3S3W,"(+2(L),+2AR)(Friendly)(all)/2 turns","Damage Bonus, Shield ",,S,W,Light +1,,,U,,,
Clumsiness,3w,"Target, must spend +1d to attack or use abilities next turn, or else gain 50% chance to miss target",Fumble,,W,,Chaos +1,,2,c,,,
Holy Avenger,3w,Add +5 magical damage bonus to next attack,Damage Boost (magical),,W,,Light +1,,2,U,,,Lord Onichan
Lesser Healing,3w,Heal Target Ally 1d8/2 lvl,Heal,,W,,Light +1,,2,C,,,Lord Onichan
On yer feet!,3w,Regenerate 1d4hp/3 turns,Regeneration,,w,,Chaos +1,,2,U,,,Lord Onichan
Thunderclap,3W,"Stun/1 turn, attempt stun(randomx1):(If stun=yes:repeat=yes):(if stun=no:repeat=no)","Stun, Special",,W,,Light+1,,2,U,,,Lord Onichan
Gravities a Drag,3W,(friendly)(all)(attack value=r:valid target=no),Untargetable,,W,,Chaos +1,,2,C,,,Lord Onichan
Arcana Dissipation,3w1s,Convert the next two incoming arcana damage sources into physical damage ,"Convert (A)->(P), next 2 damage source ",,W,S,Light +1,,1,R,,,Lord Onichan
Mimic Potion,3w1s,Duplicates the effect of currently equipped consumable,"Copy(effect), (consumable)",,W,S,Dark +1,,1,R,,,Lord Onichan
Righteous Armor,3w2s,Heal a random ally 1D8 each time (L) received. /1 turn,"If (L) received, heal(ally, random)",,S,W,Light +1,,3,U,,,Lord Onichan
Unholy Channeling,3w2s,"(Deal 1d8(D) to self, Power Generation x2)/2turns","Damage(self)(D), Power generation increase x2",,W,S,Dark +1,,3,U,,,Lord Onichan
“For Honour”,3w3I,"dispel(all)(friendly)(others), Heal(Friendly)(others)1d6/lvl ","Dispell, Heal",,W,I,Light +1,,2,U,,,Lord Onichan
Groin Kick,4D,Kick wolfman in the nards!,Deal 2d6(p)(m):daze,0:2,D,,Chaos +1,,1,c,,,Lord Onichan
Horn of Motion,4D,"Haste 1/2 turns, +2 crit boost","Haste, Crit boost",,D,,Order +1,,3,C,,,Lord Onichan
Rope swing swashbucklers,4d2i,Summon 2 Gemini swashbucklers on next successful boarding action.,"Summon, triggered(boarding=success)",,D,I,Chaos +1,Must be in Skyship combat,3,U,,,Lord Onichan
Battle Archivist,4d2w,Regenerate wisdom by attacking ,Add bonus: Power Boost 1w,0,D,W,Darkness +1,,2,R,,,Lord Onichan
Temporal Mastery,4d4i,Warping the fabric of time itself ,Haste 2,2,D,I,Order +1,,3,R,,,Lord Onichan
Attack Plan Alpha,4i,"Escape (all), +1 regeneration(party)/3 turns","escape, regeneration (party)",,I,,Order +1,,2,u,,,Lord Onichan
Madness Breacher,4i,Confuse Target Enemy ,"Confuse, Targeted (any)",,I,,Chaos +1,,2,u,,,Lord Onichan
Polymorph enemy,4i,Transform target enemy into a shield bunny for one turn,polymorph,,I,,Chaos +1,,2,u,,,Lord Onichan
Rum Spirit,4I,Bubble 5(O)3(L)3(D),Bubble,,I,,Chaos +1,,,U,,,Lord Onichan
Abyssal Acid,4I,"(Armor Reduction 4, drain 1d6(D)/2 turns)(AoE)","Damage, Debuff, AoE",,I,,Darkness or Chaos +1,recharge time 3 turns,3,C,,,Lord Onichan
Chaos Matrix,4i2d,"All (P) -> (A, random)/2 turns","Convert (P) -> (A,random) / 2 Turns",,I,D,Chaos +1,,2,U,,,Lord Onichan
Strategy of disengagement,4i2d,"End boarding action, return to Skyship combat",Change battle type,,I,D,Order +1,Must be in a boarding action,3,U,,,Lord Onichan
Geistgestalt,4I2d,"Priority 2, stealth/1 turn","Stealth,Priority",,I,,Darkness+1,Only be used by Darkness,2,C,,,Lord Onichan
Rabbit Golem C,4i3d,"Summons, mechanical rabbit Golem A. stats: AR(6),1d4(p)+2(O),5hp/lvl",Summon,,I,D,Order +1,,3,u,,,Lord Onichan
Summon Clockwork Soldiers,4i3d,"Summons 1d4+1 Clockwork soldiers, level equal to=(hero level)(.65)",Summon,,I,D,Order +1,,2,c,,,Lord Onichan
Extended Sorties,4i3d,Strike craft can fight for 5 turns/3 turns,Strike craft attack duration (4)->(5),,I,D,Order +1,,3,U,,,Lord Onichan
